Название фильма;Год выпуска;Жанр;Оценка пользователя;Комментарий;Метка
Интерстеллар;2014;Научная фантастика;5;Фантастический фильм с потрясающей игрой актеров и захватывающим сюжетом.;Положительный
Звездные войны: Эпизод IV - Новая надежда;1977;Научная фантастика;4;Классический фильм, который все еще держит планку для научной фантастики.;Положительный
Темный рыцарь;2008;Боевик;5;Отличный боевик с умопомрачительным сюжетом и потрясающими спецэффектами.;Положительный
Властелин колец: Братство Кольца;2001;Фэнтези;5;Эпическое приключение с великолепными персонажами и умопомрачительными пейзажами.;Положительный
Зеленая миля;1999;Драма;4;Глубокий фильм, который заставляет задуматься.;Положительный
Мстители;2012;Супергеройский фильм;4;Захватывающий фильм с потрясающими битвами и эффектами.;Положительный
Исходный код;2011;Научная фантастика;3;Интересная концепция, но немного запутано выполнено.;Нейтральный
Матрица;1999;Научная фантастика;5;Философский фильм с потрясающими боевыми сценами и спецэффектами.;Положительный
Игра в имитацию;2014;Научная фантастика;4;Захватывающий триллер с неожиданным поворотом сюжета.;Положительный
Гарри Поттер и философский камень;2001;Фэнтези;5;Фантастическое волшебство и великолепные персонажи делают этот фильм незабываемым.;Положительный
Гладиатор;2000;Боевик;5;Эпический фильм с великолепными боевыми сценами и впечатляющей игрой актеров.;Положительный
Побег из Шоушенка;1994;Драма;5;Великолепная история о надежде и дружбе.;Положительный
Звездные войны: Эпизод V - Империя наносит ответный удар;1980;Научная фантастика;5;Лучший эпизод саги с захватывающими сражениями и потрясающей атмосферой.;Положительный
Форрест Гамп;1994;Драма;5;Эмоциональное путешествие с Форрестом через жизнь.;Положительный
Интервью с вампиром;1994;Ужасы;4;Запоминающийся фильм с отличной атмосферой и игрой актеров.;Положительный
Темный рыцарь: Возрождение легенды;2012;Боевик;5;Отличное завершение трилогии с потрясающими боевыми сценами.;Положительный
Список Шиндлера;1993;Драма;5;Важный исторический фильм с мощным воздействием.;Положительный
Поймай меня, если сможешь;2002;Драма;4;Увлекательное кино с захватывающим сюжетом.;Положительный
Пианист;2002;Драма;5;История о выживании с потрясающей игрой Адриена Броуди.;Положительный
Звездные войны: Эпизод VI - Возвращение джедая;1983;Научная фантастика;5;Завершение оригинальной трилогии на высоком уровне.;Положительный
Искупление;2007;Драма;4;Интригующий фильм с неожиданным финалом.;Положительный
Назад в будущее;1985;Научная фантастика;5;Легендарный фильм с неповторимым Доком Брауном.;Положительный
Леон;1994;Боевик;4;Классический фильм с уникальным дуэтом Натали Портман и Жаном Рено.;Положительный
Достучаться до небес;1997;Драма;4;Эмоциональное путешествие с уникальными персонажами.;Положительный
Титаник;1997;Драма;4;Романтический фильм с потрясающими спецэффектами.;Положительный
Зеленая миля;1999;Драма;5;Глубокий фильм, который заставляет задуматься.;Положительный
Остров проклятых;2010;Триллер;4;Захватывающий фильм с неожиданным финалом.;Положительный
Хороший, плохой, злой;1966;Вестерн;5;Классика жанра с великолепной игрой Клинта Иствуда.;Положительный
Под покровом ночи;2000;Триллер;4;Захватывающий фильм с мрачной.;Положительный
Ужасный фильм;2022;Ужасы;1;Фильм ужасен, плохая игра актеров и нелепый сюжет.;Отрицательный
Фильм ужасен;2019;Ужасы;2;Пустой фильм с плохой режиссурой и неубедительными спецэффектами.;Отрицательный
Не понравился;2005;Драма;2;Фильм вызвал разочарование, скучный и непонятный сюжет.;Отрицательный
Скучный фильм;2010;Драма;2;Потраченное время, фильм скучный и предсказуемый.;Отрицательный
Плохой фильм;2018;Комедия;1;Абсурдный юмор, фильм плохо снят и не вызывает смеха.;Отрицательный
Не рекомендую;2017;Драма;2;Фильм не стоит просмотра, бесполезно потраченное время.;Отрицательный
Самый ужасный фильм;2016;Ужасы;1;Бесполезный фильм, полное разочарование.;Отрицательный
Фильм полное разочарование;2021;Комедия;1;Ничего хорошего, фильм полное разочарование.;Отрицательный
